servidor_id,mes_referencia,secretaria_municipal,renda_liquida,despesa_basica_informada
SRV-001,2026-08-01,Finanças,"R$ 4.500,00","1.200,00"
SRV-002,01/08/2026,Saúde,3800.50,"R$ 1.400,00"
SRV-003,2026/08/01,Educação,"R$ 3.200,00","900,00"
SRV-004,2026-08-01,financas,,"1.100,00"
SRV-005,2026-13-01,Saúde,"R$ 2.900,00","1.000,00"
SRV-006,2026-08-01,Educação,"R$ -500,00","800,00"
SRV-007,01/08/2026,Saúde,"R$ 3.159,91","1.281,49"
SRV-008,2026/08/01,Educação,"R$ 3.296,04","1.364,56"
SRV-009,2026-08-01,financas,"3433.17","1.447,63"
SRV-010,01/08/2026,SAUDE,"R$ 3.570,30","1.530,70"
SRV-011,2026/08/01,educação,"R$ 3.707,43","1.613,77"
SRV-012,2026-08-01,Finanças,"3844.56","1.696,84"
SRV-013,01/08/2026,Saúde,"R$ 3.981,69","1.779,91"
SRV-014,2026/08/01,Educação,"R$ 4.118,82","1.862,98"
SRV-015,2026-08-01,financas,"4255.95","1.945,05"
SRV-016,01/08/2026,SAUDE,"R$ 4.392,08","2.028,12"
SRV-017,2026/08/01,educação,"R$ 4.529,21","711,19"
SRV-018,2026-08-01,Finanças,"4666.34","794,26"
SRV-019,01/08/2026,Saúde,"R$ 4.803,47","877,33"
SRV-020,2026/08/01,Educação,"R$ 4.940,60","960,40"
SRV-021,2026-08-01,financas,"5077.73","1.043,47"
SRV-022,01/08/2026,SAUDE,"R$ 5.214,86","1.126,54"
SRV-023,2026/08/01,educação,"R$ 5.351,99","1.209,61"
SRV-024,2026-08-01,Finanças,"5488.12","1.292,68"
SRV-025,01/08/2026,Saúde,"R$ 5.625,25","1.375,75"
SRV-026,2026/08/01,Educação,"R$ 5.762,38","1.458,82"
SRV-027,2026-08-01,financas,"5899.51","1.541,89"
SRV-028,01/08/2026,SAUDE,"R$ 6.036,64","1.624,96"
SRV-029,2026/08/01,educação,"R$ 6.173,77","1.707,03"
SRV-030,2026-08-01,Finanças,"6310.90","1.790,10"
SRV-031,01/08/2026,Saúde,"R$ 6.447,03","1.873,17"
SRV-032,2026/08/01,Educação,"R$ 6.584,16","1.956,24"
SRV-033,2026-08-01,financas,"6721.29","2.039,31"
SRV-034,01/08/2026,SAUDE,"R$ 6.858,42","722,38"
SRV-035,2026/08/01,educação,"R$ 6.995,55","805,45"
SRV-036,2026-08-01,Finanças,"7132.68","888,52"
SRV-037,01/08/2026,Saúde,"R$ 7.269,81","971,59"
SRV-038,2026/08/01,Educação,"R$ 7.406,94","1.054,66"
SRV-039,2026-08-01,financas,"7543.07","1.137,73"
SRV-040,01/08/2026,SAUDE,"R$ 7.680,20","1.220,80"
SRV-041,2026/08/01,educação,"R$ 7.817,33","1.303,87"
SRV-042,2026-08-01,Finanças,"7954.46","1.386,94"
SRV-043,01/08/2026,Saúde,"R$ 8.091,59","1.469,01"
SRV-044,2026/08/01,Educação,"R$ 8.228,72","1.552,08"
SRV-045,2026-08-01,financas,"8365.85","1.635,15"
SRV-046,01/08/2026,SAUDE,"R$ 8.502,98","1.718,22"
SRV-047,2026/08/01,educação,"R$ 8.639,11","1.801,29"
SRV-048,2026-08-01,Finanças,"8776.24","1.884,36"
SRV-049,01/08/2026,Saúde,"R$ 8.913,37","1.967,43"
SRV-050,2026/08/01,Educação,"R$ 9.050,50","2.050,50"
SRV-051,2026-08-01,financas,"9187.63","733,57"
SRV-052,01/08/2026,SAUDE,"R$ 9.324,76","816,64"
SRV-053,2026/08/01,educação,"R$ 9.461,89","899,71"
SRV-054,2026-08-01,Finanças,"9598.02","982,78"
SRV-055,01/08/2026,Saúde,"R$ 9.735,15","1.065,85"
SRV-056,2026/08/01,Educação,"R$ 9.872,28","1.148,92"
SRV-057,2026-08-01,financas,"2209.41","1.231,99"
SRV-058,01/08/2026,SAUDE,"R$ 2.346,54","1.314,06"
SRV-059,2026/08/01,educação,"R$ 2.483,67","1.397,13"
SRV-060,2026-08-01,Finanças,"2620.80","1.480,20"
SRV-061,01/08/2026,Saúde,"R$ 2.757,93","1.563,27"
SRV-062,2026/08/01,Educação,"R$ 2.894,06","1.646,34"
SRV-063,2026-08-01,financas,"3031.19","1.729,41"
SRV-064,01/08/2026,SAUDE,"R$ 3.168,32","1.812,48"
SRV-065,2026/08/01,educação,"R$ 3.305,45","1.895,55"
SRV-066,2026-08-01,Finanças,"3442.58","1.978,62"
SRV-067,01/08/2026,Saúde,"R$ 3.579,71","2.061,69"
SRV-068,2026/08/01,Educação,"R$ 3.716,84","744,76"
SRV-069,2026-08-01,financas,"3853.97","827,83"
SRV-070,01/08/2026,SAUDE,"R$ 3.990,10","910,90"
SRV-071,2026/08/01,educação,"R$ 4.127,23","993,97"
SRV-072,2026-08-01,Finanças,"4264.36","1.076,04"
SRV-073,01/08/2026,Saúde,"R$ 4.401,49","1.159,11"
SRV-074,2026/08/01,Educação,"R$ 4.538,62","1.242,18"
SRV-075,2026-08-01,financas,"4675.75","1.325,25"
SRV-076,01/08/2026,SAUDE,"R$ 4.812,88","1.408,32"
SRV-077,2026/08/01,educação,"R$ 4.949,01","1.491,39"
SRV-078,2026-08-01,Finanças,"5086.14","1.574,46"
SRV-079,01/08/2026,Saúde,"R$ 5.223,27","1.657,53"
SRV-080,2026/08/01,Educação,"R$ 5.360,40","1.740,60"
SRV-081,2026-08-01,financas,"5497.53","1.823,67"
SRV-082,01/08/2026,SAUDE,"R$ 5.634,66","1.906,74"
SRV-083,2026/08/01,educação,"R$ 5.771,79","1.989,81"
SRV-084,2026-08-01,Finanças,"5908.92","2.072,88"
SRV-085,01/08/2026,Saúde,"R$ 6.045,05","755,95"
SRV-086,2026/08/01,Educação,"R$ 6.182,18","838,02"
SRV-087,2026-08-01,financas,"6319.31","921,09"
SRV-088,01/08/2026,SAUDE,"R$ 6.456,44","1.004,16"
SRV-089,2026/08/01,educação,"R$ 6.593,57","1.087,23"
SRV-090,2026-08-01,Finanças,"6730.70","1.170,30"
SRV-091,01/08/2026,Saúde,"R$ 6.867,83","1.253,37"
SRV-092,2026/08/01,Educação,"R$ 7.004,96","1.336,44"
